INFO: [SIM 2] *************** CSIM start ***************
INFO: [SIM 4] CSIM will launch GCC as the compiler.
   Compiling ../../../../../xup_high_level_synthesis_design_flow-main/source/lab4/fir.cpp in debug mode
   Generating csim.exe
0 -32768 -2562
1 0 -658
2 0 -723
3 0 -780
4 0 -824
5 0 -855
6 0 -869
7 0 -866
8 0 -844
9 0 -802
10 0 -740
11 0 -657
12 0 -556
13 0 -437
14 0 -300
15 0 -150
16 0 12
17 0 183
18 0 359
19 0 536
20 0 712
21 0 879
22 0 1042
23 0 1188
24 0 1318
25 0 1430
26 0 1520
27 0 1586
28 0 1625
29 0 -31130
30 0 1625
31 0 1586
32 0 1520
33 0 1430
34 0 1318
35 0 1188
36 0 1042
37 0 879
38 0 712
39 0 536
40 0 359
41 0 183
42 0 12
43 0 -150
44 0 -300
45 0 -437
46 0 -556
47 0 -657
48 0 -740
49 0 -802
50 0 -844
51 0 -866
52 0 -869
53 0 -855
54 0 -824
55 0 -780
56 0 -723
57 0 -658
58 0 -2562
59 0 0
60 0 0
61 0 0
62 0 0
63 0 0
64 0 0
65 0 0
66 0 0
67 0 0
INFO: [SIM 1] CSim done with 0 errors.
INFO: [SIM 3] *************** CSIM finish ***************
